nohup: ignoring input
Generated base_lrs: ['0.100', '0.146', '0.213', '0.311', '0.453', '0.662', '0.965', '1.409', '2.056', '3.000']
=================================================================================
STARTING GRID SEARCH | Depths: [3, 6, 9] | LRs: [0.1, 0.14592328029610852, 0.21293603732376645, 0.3107232505953859, 0.4534175599114845, 0.6616417768614112, 0.9654893846056297, 1.408873780927246, 2.0558748363608466, 3.0] | Seeds: [42, 111, 1356]
=================================================================================

[Processing Depth 3] Saving to: depth-decoupled-var01ep20-depth:3-width:256-seeds_averaged.json
   -> LR: 0.1 Started across 3 seeds
   [Seed 111 | Ep 12/20] Train Loss: 1.8754, Train Acc: 0.2984 | Valid Loss: 1.8751, Valid Acc: 0.2979 | Test Loss: 1.8666, Test Acc: 0.2966
   [Seed 111 | Ep 13/20] Train Loss: 1.8675, Train Acc: 0.2994 | Valid Loss: 1.8727, Valid Acc: 0.2955 | Test Loss: 1.8657, Test Acc: 0.2931
   [Seed 111 | Ep 14/20] Train Loss: 1.8496, Train Acc: 0.3109 | Valid Loss: 1.8399, Valid Acc: 0.3149 | Test Loss: 1.8353, Test Acc: 0.3099
   [Seed 111 | Ep 15/20] Train Loss: 1.8413, Train Acc: 0.3119 | Valid Loss: 1.8430, Valid Acc: 0.2966 | Test Loss: 1.8368, Test Acc: 0.3043
   [Seed 111 | Ep 16/20] Train Loss: 1.7965, Train Acc: 0.3221 | Valid Loss: 1.8076, Valid Acc: 0.3148 | Test Loss: 1.8023, Test Acc: 0.3139
   [Seed 111 | Ep 17/20] Train Loss: 1.7915, Train Acc: 0.3242 | Valid Loss: 1.7855, Valid Acc: 0.3236 | Test Loss: 1.7835, Test Acc: 0.3247
   [Seed 111 | Ep 18/20] Train Loss: 1.8117, Train Acc: 0.3222 | Valid Loss: 1.7763, Valid Acc: 0.3361 | Test Loss: 1.7708, Test Acc: 0.3293
   [Seed 111 | Ep 19/20] Train Loss: 1.7572, Train Acc: 0.3399 | Valid Loss: 1.7209, Valid Acc: 0.3545 | Test Loss: 1.7189, Test Acc: 0.3489
   [Seed 111 | Ep 20/20] Train Loss: 1.7540, Train Acc: 0.3429 | Valid Loss: 1.7540, Valid Acc: 0.3570 | Test Loss: 1.7576, Test Acc: 0.3479
   [Seed 1356 | Ep 1/20] Train Loss: 2.2013, Train Acc: 0.1867 | Valid Loss: 2.1901, Valid Acc: 0.1839 | Test Loss: 2.1881, Test Acc: 0.1835
   [Seed 1356 | Ep 2/20] Train Loss: 2.0918, Train Acc: 0.2166 | Valid Loss: 2.0891, Valid Acc: 0.2067 | Test Loss: 2.0875, Test Acc: 0.2109
   [Seed 1356 | Ep 3/20] Train Loss: 2.0652, Train Acc: 0.2264 | Valid Loss: 2.0625, Valid Acc: 0.2222 | Test Loss: 2.0606, Test Acc: 0.2249
   [Seed 1356 | Ep 4/20] Train Loss: 2.0441, Train Acc: 0.2343 | Valid Loss: 2.0386, Valid Acc: 0.2326 | Test Loss: 2.0364, Test Acc: 0.2411
