nohup: ignoring input
Generated base_lrs: ['0.100', '0.146', '0.213', '0.311', '0.453', '0.662', '0.965', '1.409', '2.056', '3.000']
=================================================================================
STARTING EXPERIMENTS | Depths: [3, 6, 9] | LRs: [0.1, 0.14592328029610852, 0.21293603732376645, 0.3107232505953859, 0.4534175599114845, 0.6616417768614112, 0.9654893846056297, 1.408873780927246, 2.0558748363608466, 3.0] | Seeds: [42, 111, 1356]
=================================================================================

Processing Depth 3...
   -> LR: 0.1 Started across 3 independent seeds
   [Seed 111 | Ep 12/20] Train Loss: 1.9953, Train Acc: 0.2503 | Valid Loss: 1.9852, Valid Acc: 0.2639 | Test Loss: 1.9836, Test Acc: 0.2607
   [Seed 111 | Ep 13/20] Train Loss: 1.9804, Train Acc: 0.2593 | Valid Loss: 1.9658, Valid Acc: 0.2749 | Test Loss: 1.9641, Test Acc: 0.2699
   [Seed 111 | Ep 14/20] Train Loss: 1.9616, Train Acc: 0.2697 | Valid Loss: 1.9482, Valid Acc: 0.2807 | Test Loss: 1.9453, Test Acc: 0.2764
   [Seed 111 | Ep 15/20] Train Loss: 1.9430, Train Acc: 0.2757 | Valid Loss: 1.9309, Valid Acc: 0.2887 | Test Loss: 1.9264, Test Acc: 0.2842
   [Seed 111 | Ep 16/20] Train Loss: 1.9251, Train Acc: 0.2797 | Valid Loss: 1.9138, Valid Acc: 0.2900 | Test Loss: 1.9082, Test Acc: 0.2869
   [Seed 111 | Ep 17/20] Train Loss: 1.9061, Train Acc: 0.2863 | Valid Loss: 1.8887, Valid Acc: 0.3080 | Test Loss: 1.8813, Test Acc: 0.3002
   [Seed 111 | Ep 18/20] Train Loss: 1.9110, Train Acc: 0.2794 | Valid Loss: 1.9077, Valid Acc: 0.2901 | Test Loss: 1.9018, Test Acc: 0.2861
   [Seed 111 | Ep 19/20] Train Loss: 1.8768, Train Acc: 0.2982 | Valid Loss: 1.8609, Valid Acc: 0.3152 | Test Loss: 1.8525, Test Acc: 0.3134
   [Seed 111 | Ep 20/20] Train Loss: 1.8664, Train Acc: 0.3003 | Valid Loss: 1.8483, Valid Acc: 0.3167 | Test Loss: 1.8417, Test Acc: 0.3203
   [Seed 1356 | Ep 1/20] Train Loss: 2.2751, Train Acc: 0.1679 | Valid Loss: 2.2707, Valid Acc: 0.1603 | Test Loss: 2.2685, Test Acc: 0.1643
   [Seed 1356 | Ep 2/20] Train Loss: 2.2162, Train Acc: 0.1772 | Valid Loss: 2.2079, Valid Acc: 0.1743 | Test Loss: 2.2045, Test Acc: 0.1738
   [Seed 1356 | Ep 3/20] Train Loss: 2.1325, Train Acc: 0.1963 | Valid Loss: 2.1248, Valid Acc: 0.1850 | Test Loss: 2.1223, Test Acc: 0.1898
   [Seed 1356 | Ep 4/20] Train Loss: 2.0886, Train Acc: 0.2112 | Valid Loss: 2.0851, Valid Acc: 0.2035 | Test Loss: 2.0825, Test Acc: 0.2027
   [Seed 1356 | Ep 5/20] Train Loss: 2.0746, Train Acc: 0.2200 | Valid Loss: 2.0710, Valid Acc: 0.2123 | Test Loss: 2.0683, Test Acc: 0.2235
   [Seed 1356 | Ep 6/20] Train Loss: 2.0659, Train Acc: 0.2248 | Valid Loss: 2.0641, Valid Acc: 0.2173 | Test Loss: 2.0616, Test Acc: 0.2264
   [Seed 1356 | Ep 7/20] Train Loss: 2.0573, Train Acc: 0.2261 | Valid Loss: 2.0540, Valid Acc: 0.2206 | Test Loss: 2.0514, Test Acc: 0.2315
   [Seed 1356 | Ep 8/20] Train Loss: 2.0471, Train Acc: 0.2298 | Valid Loss: 2.0456, Valid Acc: 0.2200 | Test Loss: 2.0424, Test Acc: 0.2383
   [Seed 1356 | Ep 9/20] Train Loss: 2.0379, Train Acc: 0.2383 | Valid Loss: 2.0346, Valid Acc: 0.2282 | Test Loss: 2.0315, Test Acc: 0.2379
   [Seed 1356 | Ep 10/20] Train Loss: 2.0251, Train Acc: 0.2422 | Valid Loss: 2.0222, Valid Acc: 0.2318 | Test Loss: 2.0189, Test Acc: 0.2445
   [Seed 1356 | Ep 11/20] Train Loss: 2.0117, Train Acc: 0.2501 | Valid Loss: 2.0069, Valid Acc: 0.2434 | Test Loss: 2.0030, Test Acc: 0.2536
   [Seed 1356 | Ep 12/20] Train Loss: 1.9951, Train Acc: 0.2597 | Valid Loss: 1.9898, Valid Acc: 0.2538 | Test Loss: 1.9877, Test Acc: 0.2606
   [Seed 1356 | Ep 13/20] Train Loss: 1.9769, Train Acc: 0.2688 | Valid Loss: 1.9743, Valid Acc: 0.2621 | Test Loss: 1.9703, Test Acc: 0.2681
   [Seed 1356 | Ep 14/20] Train Loss: 1.9554, Train Acc: 0.2758 | Valid Loss: 1.9476, Valid Acc: 0.2823 | Test Loss: 1.9465, Test Acc: 0.2782
   [Seed 1356 | Ep 15/20] Train Loss: 1.9324, Train Acc: 0.2835 | Valid Loss: 1.9242, Valid Acc: 0.2951 | Test Loss: 1.9222, Test Acc: 0.2830
   [Seed 1356 | Ep 16/20] Train Loss: 1.9143, Train Acc: 0.2854 | Valid Loss: 1.9006, Valid Acc: 0.2973 | Test Loss: 1.8964, Test Acc: 0.2929
   [Seed 1356 | Ep 17/20] Train Loss: 1.9001, Train Acc: 0.2897 | Valid Loss: 1.8914, Valid Acc: 0.2999 | Test Loss: 1.8845, Test Acc: 0.2977
   [Seed 1356 | Ep 18/20] Train Loss: 1.8826, Train Acc: 0.2989 | Valid Loss: 1.8718, Valid Acc: 0.3049 | Test Loss: 1.8644, Test Acc: 0.3056
   [Seed 1356 | Ep 19/20] Train Loss: 1.8898, Train Acc: 0.2959 | Valid Loss: 1.8675, Valid Acc: 0.3101 | Test Loss: 1.8637, Test Acc: 0.3102
   [Seed 1356 | Ep 20/20] Train Loss: 1.8591, Train Acc: 0.3026 | Valid Loss: 1.8456, Valid Acc: 0.3132 | Test Loss: 1.8401, Test Acc: 0.3108

   --- AVERAGED RESULTS ACROSS 3 SEEDS (LR: 0.1) ---
   [Averaged | Ep 1/20] Train Loss: 2.2754, Train Acc: 0.1683 | Valid Loss: 2.2703, Valid Acc: 0.1638 | Test Loss: 2.2686, Test Acc: 0.1653
   [Averaged | Ep 2/20] Train Loss: 2.2222, Train Acc: 0.1805 | Valid Loss: 2.2135, Valid Acc: 0.1787 | Test Loss: 2.2109, Test Acc: 0.1788
   [Averaged | Ep 3/20] Train Loss: 2.1403, Train Acc: 0.1973 | Valid Loss: 2.1334, Valid Acc: 0.1891 | Test Loss: 2.1317, Test Acc: 0.1936
   [Averaged | Ep 4/20] Train Loss: 2.0921, Train Acc: 0.2103 | Valid Loss: 2.0874, Valid Acc: 0.2059 | Test Loss: 2.0856, Test Acc: 0.2060
   [Averaged | Ep 5/20] Train Loss: 2.0767, Train Acc: 0.2177 | Valid Loss: 2.0737, Valid Acc: 0.2140 | Test Loss: 2.0720, Test Acc: 0.2182
   [Averaged | Ep 6/20] Train Loss: 2.0678, Train Acc: 0.2220 | Valid Loss: 2.0649, Valid Acc: 0.2218 | Test Loss: 2.0631, Test Acc: 0.2248
   [Averaged | Ep 7/20] Train Loss: 2.0586, Train Acc: 0.2254 | Valid Loss: 2.0554, Valid Acc: 0.2234 | Test Loss: 2.0534, Test Acc: 0.2299
   [Averaged | Ep 8/20] Train Loss: 2.0494, Train Acc: 0.2292 | Valid Loss: 2.0462, Valid Acc: 0.2244 | Test Loss: 2.0441, Test Acc: 0.2344
   [Averaged | Ep 9/20] Train Loss: 2.0394, Train Acc: 0.2352 | Valid Loss: 2.0328, Valid Acc: 0.2309 | Test Loss: 2.0303, Test Acc: 0.2392
   [Averaged | Ep 10/20] Train Loss: 2.0268, Train Acc: 0.2410 | Valid Loss: 2.0207, Valid Acc: 0.2400 | Test Loss: 2.0187, Test Acc: 0.2459
   [Averaged | Ep 11/20] Train Loss: 2.0125, Train Acc: 0.2475 | Valid Loss: 2.0065, Valid Acc: 0.2476 | Test Loss: 2.0041, Test Acc: 0.2519
   [Averaged | Ep 12/20] Train Loss: 1.9964, Train Acc: 0.2546 | Valid Loss: 1.9900, Valid Acc: 0.2558 | Test Loss: 1.9878, Test Acc: 0.2579
   [Averaged | Ep 13/20] Train Loss: 1.9788, Train Acc: 0.2637 | Valid Loss: 1.9722, Valid Acc: 0.2667 | Test Loss: 1.9691, Test Acc: 0.2672
   [Averaged | Ep 14/20] Train Loss: 1.9586, Train Acc: 0.2719 | Valid Loss: 1.9505, Valid Acc: 0.2800 | Test Loss: 1.9479, Test Acc: 0.2752
